brand_id,brand_name,category,brand_popularity_score
1,Brand 1,Technology,95.98
2,Brand 2,Gaming,52.39
3,Brand 3,Fitness,78.73
4,Brand 4,Sports,39.7
5,Brand 5,Technology,92.46
6,Brand 6,Fashion,93.35
7,Brand 7,Sports,32.49
8,Brand 8,Beauty,37.13
9,Brand 9,Gaming,38.01
10,Brand 10,Home,69.09
11,Brand 11,Gaming,50.59
12,Brand 12,Fitness,42.41
13,Brand 13,Sports,69.38
14,Brand 14,Beauty,95.23
15,Brand 15,Technology,38.55
16,Brand 16,Fashion,57.51
17,Brand 17,Fitness,96.45
18,Brand 18,Beauty,84.74
19,Brand 19,Beauty,39.57
20,Brand 20,Sports,32.07
21,Brand 21,Home,81.38
22,Brand 22,Gaming,38.77
23,Brand 23,Gaming,63.26
24,Brand 24,Beauty,27.41
25,Brand 25,Fitness,30.39
26,Brand 26,Home,32.45
27,Brand 27,Fitness,84.31
28,Brand 28,Gaming,88.49
29,Brand 29,Sports,47.99
30,Brand 30,Fitness,25.79
