user_id,reel_id,view,watch_ratio,like,comment,purchase,timestamp
1,1818,1,0.62,1,0,0,2026-05-14 22:22:36
1,2506,1,0.26,0,1,0,2026-02-21 22:22:37
1,901,1,0.89,0,0,0,2026-02-19 22:22:36
1,473,1,0.17,1,1,0,2026-04-28 22:22:36
1,45,1,0.81,1,0,0,2026-05-05 22:22:36
1,290,1,0.84,0,0,0,2026-04-19 22:22:36
1,1242,1,0.79,0,0,0,2026-03-15 22:22:36
1,292,1,0.56,1,0,0,2026-03-16 22:22:36
1,2145,1,0.17,0,1,0,2026-03-05 22:22:37
1,1299,1,0.7,1,0,0,2026-04-27 22:22:36
1,2568,1,0.57,1,0,0,2026-03-12 22:22:37
1,204,1,0.79,1,0,0,2026-04-16 22:22:36
1,153,1,0.75,0,0,0,2026-03-17 22:22:36
1,2902,1,0.91,0,0,0,2026-03-19 22:22:37
1,1360,1,0.56,0,1,0,2026-02-08 22:22:36
1,1002,1,0.96,0,0,0,2026-04-17 22:22:36
1,719,1,0.19,1,0,0,2026-03-30 22:22:36
1,52,1,0.74,1,0,0,2026-02-25 22:22:36
1,1583,1,0.51,0,0,0,2026-03-04 22:22:36
1,522,1,0.87,0,0,0,2026-03-24 22:22:36
1,1922,1,0.47,0,0,0,2026-02-26 22:22:36
1,2483,1,0.41,0,0,0,2026-02-07 22:22:37
1,2478,1,0.79,1,0,0,2026-02-09 22:22:37
1,2415,1,0.51,0,0,0,2026-03-11 22:22:37
1,417,1,0.62,1,0,0,2026-04-29 22:22:36
1,175,1,0.88,0,1,0,2026-04-09 22:22:36
1,2176,1,0.91,1,0,0,2026-03-17 22:22:37
1,1608,1,0.52,0,0,0,2026-04-25 22:22:36
1,1232,1,0.38,0,1,0,2026-03-07 22:22:36
1,863,1,0.48,0,0,0,2026-03-08 22:22:36
1,94,1,0.27,0,0,0,2026-04-13 22:22:36
1,507,1,0.5,0,0,0,2026-03-08 22:22:36
1,2910,1,0.89,0,0,0,2026-02-27 22:22:37
1,2046,1,0.51,0,0,0,2026-02-14 22:22:36
1,315,1,0.68,1,1,0,2026-03-19 22:22:36
1,1942,1,0.83,0,0,0,2026-03-26 22:22:36
1,2968,1,0.91,1,0,0,2026-05-05 22:22:37
1,1771,1,0.84,0,0,0,2026-03-14 22:22:36
1,1992,1,0.53,0,0,0,2026-04-22 22:22:36
2,935,1,0.53,0,0,0,2026-05-01 22:22:36
2,921,1,0.75,0,0,0,2026-04-11 22:22:36
2,2037,1,0.82,0,1,0,2026-02-09 22:22:36
2,1629,1,0.84,0,0,0,2026-05-05 22:22:36
2,1198,1,0.72,1,0,0,2026-03-24 22:22:36
2,2871,1,0.99,0,0,0,2026-05-10 22:22:37
2,684,1,0.94,1,0,0,2026-05-01 22:22:36
2,1727,1,0.91,0,0,0,2026-04-11 22:22:36
2,248,1,0.81,0,0,0,2026-04-18 22:22:36
2,2586,1,0.77,1,0,0,2026-03-14 22:22:37
2,1493,1,0.67,0,0,0,2026-04-28 22:22:36
2,2272,1,0.79,1,0,0,2026-02-13 22:22:37
2,2050,1,0.21,0,0,0,2026-02-16 22:22:36
2,2838,1,0.67,1,0,0,2026-03-10 22:22:37
2,867,1,0.52,1,0,0,2026-03-14 22:22:36
2,2755,1,0.74,0,0,0,2026-03-12 22:22:37
2,2892,1,0.65,1,0,0,2026-04-15 22:22:37
2,32,1,0.84,0,0,0,2026-03-26 22:22:36
2,157,1,0.62,0,0,0,2026-04-27 22:22:36
2,512,1,0.7,0,0,0,2026-02-22 22:22:36
2,806,1,0.9,0,0,0,2026-04-02 22:22:36
2,2233,1,0.82,1,0,0,2026-04-08 22:22:37
2,1313,1,0.93,0,1,0,2026-04-05 22:22:36
2,2306,1,0.73,1,0,0,2026-03-26 22:22:37
2,937,1,0.63,0,0,0,2026-02-19 22:22:36
2,2843,1,0.7,1,0,0,2026-04-12 22:22:37
2,297,1,0.98,1,0,0,2026-03-19 22:22:36
2,2235,1,0.7,0,0,0,2026-04-07 22:22:37
2,2977,1,0.88,0,0,0,2026-04-08 22:22:37
2,2326,1,0.32,0,0,0,2026-03-21 22:22:37
2,1298,1,0.85,1,0,0,2026-02-12 22:22:36
2,2816,1,0.75,0,0,0,2026-02-09 22:22:37
2,2209,1,0.8,1,0,0,2026-04-16 22:22:37
2,2487,1,0.63,1,0,0,2026-04-24 22:22:37
2,907,1,0.89,1,0,0,2026-03-28 22:22:36
2,49,1,0.91,0,0,0,2026-02-17 22:22:36
2,312,1,0.92,0,0,0,2026-03-04 22:22:36
2,2706,1,0.33,0,0,0,2026-04-17 22:22:37
2,908,1,0.85,0,0,0,2026-04-06 22:22:36
2,1287,1,0.71,1,0,0,2026-03-30 22:22:36
2,2442,1,0.61,0,0,0,2026-04-20 22:22:37
2,1959,1,0.83,1,0,0,2026-03-04 22:22:36
2,1956,1,0.68,0,0,0,2026-04-25 22:22:36
2,2623,1,0.57,0,1,0,2026-02-24 22:22:37
2,2621,1,0.18,0,1,0,2026-05-16 22:22:37
2,2746,1,0.72,0,0,0,2026-05-10 22:22:37
2,544,1,0.78,0,0,0,2026-05-04 22:22:36
2,404,1,0.84,0,0,0,2026-05-09 22:22:36
2,1166,1,0.61,0,1,0,2026-02-10 22:22:36
3,185,1,0.81,1,0,0,2026-02-13 22:22:36
3,2548,1,0.16,0,0,0,2026-05-10 22:22:37
3,1769,1,0.57,0,1,0,2026-04-04 22:22:36
3,674,1,0.73,1,0,0,2026-04-10 22:22:36
3,553,1,0.68,0,0,0,2026-02-19 22:22:36
3,97,1,0.5,0,0,0,2026-03-07 22:22:36
3,1223,1,0.91,0,0,0,2026-03-28 22:22:36
3,1801,1,0.6,0,0,0,2026-03-31 22:22:36
3,440,1,0.81,0,0,0,2026-05-10 22:22:36
3,2501,1,0.99,1,0,0,2026-02-16 22:22:37
3,1352,1,0.95,0,0,0,2026-02-15 22:22:36
3,2981,1,0.54,1,0,0,2026-05-06 22:22:37
3,1865,1,0.29,0,0,0,2026-03-20 22:22:36
3,837,1,0.79,0,0,0,2026-04-27 22:22:36
3,1838,1,0.56,0,0,0,2026-04-18 22:22:36
3,1951,1,0.68,1,1,0,2026-04-30 22:22:36
3,1369,1,0.66,0,0,0,2026-03-21 22:22:36
3,1529,1,0.38,0,0,0,2026-02-24 22:22:36
3,305,1,0.88,0,0,0,2026-04-19 22:22:36
3,1388,1,0.99,0,0,0,2026-02-12 22:22:36
3,1670,1,0.1,0,0,0,2026-05-14 22:22:36
3,1143,1,0.64,0,0,0,2026-03-04 22:22:36
3,1021,1,0.59,1,0,0,2026-05-10 22:22:36
3,2806,1,0.58,0,0,0,2026-04-01 22:22:37
3,808,1,0.27,0,0,0,2026-03-24 22:22:36
3,2218,1,0.87,1,1,0,2026-03-10 22:22:37
4,650,1,0.66,0,1,0,2026-02-24 22:22:36
4,2227,1,0.83,0,0,0,2026-02-09 22:22:37
4,194,1,0.53,1,0,0,2026-03-29 22:22:36
4,2672,1,0.85,1,1,0,2026-03-09 22:22:37
4,1702,1,0.55,0,0,0,2026-02-25 22:22:36
4,1618,1,0.56,0,0,0,2026-02-18 22:22:36
4,2044,1,0.64,0,0,0,2026-04-02 22:22:36
4,2426,1,0.73,0,0,0,2026-04-06 22:22:37
4,548,1,0.62,0,0,0,2026-05-02 22:22:36
4,1732,1,0.29,0,0,0,2026-04-28 22:22:36
5,2976,1,0.69,0,0,0,2026-04-13 22:22:37
5,1775,1,0.94,0,0,0,2026-03-22 22:22:36
5,1703,1,0.26,1,0,0,2026-03-05 22:22:36
5,322,1,0.95,0,0,0,2026-04-17 22:22:36
5,48,1,0.78,0,0,0,2026-03-29 22:22:36
5,2357,1,0.89,1,1,1,2026-02-22 22:22:37
5,206,1,0.6,1,0,0,2026-02-19 22:22:36
5,197,1,0.58,0,0,0,2026-03-20 22:22:36
5,2180,1,0.41,0,0,0,2026-03-31 22:22:37
5,1964,1,0.61,0,0,0,2026-04-10 22:22:36
5,829,1,0.21,1,0,0,2026-02-23 22:22:36
5,434,1,0.61,0,0,0,2026-04-03 22:22:36
5,2272,1,0.73,0,0,0,2026-02-16 22:22:37
5,61,1,0.98,0,0,0,2026-03-08 22:22:36
5,19,1,0.82,0,0,0,2026-03-22 22:22:36
5,482,1,0.79,0,0,0,2026-03-25 22:22:36
5,347,1,0.95,0,0,0,2026-04-22 22:22:36
5,1658,1,0.57,0,0,0,2026-04-29 22:22:36
5,2486,1,0.76,0,0,0,2026-04-04 22:22:37
5,1125,1,0.8,1,0,0,2026-02-23 22:22:36
5,2573,1,0.54,0,0,0,2026-04-03 22:22:37
5,1674,1,0.79,1,1,0,2026-03-06 22:22:36
5,460,1,0.6,1,0,1,2026-02-22 22:22:36
5,2966,1,0.81,1,0,0,2026-05-05 22:22:37
5,1148,1,0.17,1,0,0,2026-02-11 22:22:36
5,2544,1,0.62,1,0,0,2026-04-14 22:22:37
5,2185,1,0.92,0,0,0,2026-03-08 22:22:37
5,1629,1,0.2,0,0,0,2026-05-13 22:22:36
5,1855,1,0.59,0,0,0,2026-04-07 22:22:36
5,491,1,0.71,1,0,0,2026-03-28 22:22:36
5,1962,1,0.88,1,0,0,2026-04-03 22:22:36
5,139,1,0.95,0,0,0,2026-04-30 22:22:36
5,2391,1,0.42,1,0,0,2026-03-13 22:22:37
5,2394,1,1.0,0,0,0,2026-03-21 22:22:37
5,2566,1,0.67,0,0,0,2026-03-30 22:22:37
5,2220,1,0.99,0,0,0,2026-03-31 22:22:37
5,57,1,0.85,0,0,0,2026-02-15 22:22:36
5,159,1,0.62,0,1,0,2026-03-28 22:22:36
5,2054,1,0.77,0,0,0,2026-04-02 22:22:36
5,1539,1,0.56,0,0,0,2026-03-25 22:22:36
5,2916,1,0.71,1,0,0,2026-03-05 22:22:37
5,996,1,0.63,1,0,0,2026-04-22 22:22:36
6,1447,1,0.68,1,0,0,2026-04-07 22:22:36
6,780,1,0.84,1,1,0,2026-03-31 22:22:36
6,429,1,0.49,0,0,0,2026-04-03 22:22:36
6,2895,1,0.73,0,1,0,2026-05-04 22:22:37
6,1857,1,0.92,0,1,0,2026-02-09 22:22:36
6,119,1,0.15,0,0,0,2026-03-30 22:22:36
6,1228,1,0.55,0,0,0,2026-04-27 22:22:36
6,2383,1,0.39,1,0,0,2026-02-18 22:22:37
6,823,1,0.94,0,0,0,2026-03-19 22:22:36
6,1909,1,0.64,0,0,1,2026-04-08 22:22:36
6,386,1,0.78,0,0,0,2026-03-22 22:22:36
6,1958,1,0.57,1,1,0,2026-04-25 22:22:36
6,1222,1,0.9,0,0,0,2026-04-15 22:22:36
6,1781,1,0.55,0,0,0,2026-02-22 22:22:36
6,997,1,0.73,1,1,0,2026-05-10 22:22:36
6,39,1,0.62,0,0,0,2026-04-10 22:22:36
6,2587,1,0.65,0,0,0,2026-04-30 22:22:37
6,1802,1,0.85,1,0,0,2026-02-18 22:22:36
6,299,1,0.82,0,0,0,2026-03-14 22:22:36
6,72,1,0.66,0,0,0,2026-04-23 22:22:36
6,2856,1,0.76,0,0,0,2026-04-28 22:22:37
6,768,1,0.68,0,0,0,2026-04-20 22:22:36
6,1963,1,0.93,1,0,0,2026-04-17 22:22:36
6,164,1,0.66,0,0,0,2026-02-19 22:22:36
6,2864,1,0.77,1,1,0,2026-03-04 22:22:37
6,2658,1,0.34,0,0,0,2026-03-23 22:22:37
6,2247,1,0.27,1,0,0,2026-04-29 22:22:37
6,1529,1,0.84,1,0,0,2026-02-28 22:22:36
6,1576,1,0.95,0,0,0,2026-04-13 22:22:36
6,504,1,0.22,0,1,0,2026-05-07 22:22:36
